노선,연도,실현율,밴드L,밴드U,폭,적중,interval_score,밴드근거,원장채점군
인천공항,2022,0.6371,0.5508,1.0754,0.5247,1,0.5247,LOO 정규(n=59),1
인천공항,2023,0.8378,0.5508,1.0754,0.5247,1,0.5247,LOO 정규(n=59),1
인천공항,2024,0.9918,0.5508,1.0754,0.5247,1,0.5247,LOO 정규(n=59),1
천안-논산,2022,0.6441,0.5604,1.083,0.5226,1,0.5226,LOO 정규(n=59),1
천안-논산,2023,0.6591,0.5604,1.083,0.5226,1,0.5226,LOO 정규(n=59),1
천안-논산,2024,0.6533,0.5604,1.083,0.5226,1,0.5226,LOO 정규(n=59),1
대구-부산,2022,0.5122,0.5759,1.0798,0.5039,0,1.141,LOO 정규(n=59),1
대구-부산,2023,0.5368,0.5759,1.0798,0.5039,0,0.895,LOO 정규(n=59),1
대구-부산,2024,0.5448,0.5759,1.0798,0.5039,0,0.815,LOO 정규(n=59),1
일산-퇴계원,2022,1.002,0.5443,1.0634,0.5191,1,0.5191,LOO 정규(n=59),1
일산-퇴계원,2023,1.0165,0.5443,1.0634,0.5191,1,0.5191,LOO 정규(n=59),1
일산-퇴계원,2024,0.9941,0.5443,1.0634,0.5191,1,0.5191,LOO 정규(n=59),1
부산-울산,2022,0.682,0.5567,1.083,0.5262,1,0.5262,LOO 정규(n=59),1
부산-울산,2023,0.7014,0.5567,1.083,0.5262,1,0.5262,LOO 정규(n=59),1
부산-울산,2024,0.6846,0.5567,1.083,0.5262,1,0.5262,LOO 정규(n=59),1
서울-춘천,2022,1.0298,0.5446,1.0614,0.5167,1,0.5167,LOO 정규(n=59),1
서울-춘천,2023,0.9901,0.5446,1.0614,0.5167,1,0.5167,LOO 정규(n=59),1
서울-춘천,2024,1.0416,0.5446,1.0614,0.5167,1,0.5167,LOO 정규(n=59),1
용인-서울,2022,0.8238,0.5473,1.0788,0.5314,1,0.5314,LOO 정규(n=59),1
용인-서울,2023,0.8221,0.5473,1.0788,0.5314,1,0.5314,LOO 정규(n=59),1
용인-서울,2024,0.8213,0.5473,1.0788,0.5314,1,0.5314,LOO 정규(n=59),1
인천대교,2022,0.8227,0.546,1.0645,0.5185,1,0.5185,LOO 정규(n=59),1
인천대교,2023,1.0206,0.546,1.0645,0.5185,1,0.5185,LOO 정규(n=59),1
인천대교,2024,1.0848,0.546,1.0645,0.5185,0,0.7216,LOO 정규(n=59),1
서수원-평택,2022,1.1733,0.5507,1.0419,0.4912,0,1.8053,LOO 정규(n=59),1
서수원-평택,2023,1.1489,0.5507,1.0419,0.4912,0,1.5613,LOO 정규(n=59),1
서수원-평택,2024,1.1358,0.5507,1.0419,0.4912,0,1.4303,LOO 정규(n=59),1
평택-시흥,2022,0.8594,0.5456,1.0761,0.5305,1,0.5305,LOO 정규(n=59),0
평택-시흥,2023,0.8798,0.5456,1.0761,0.5305,1,0.5305,LOO 정규(n=59),0
평택-시흥,2024,0.8583,0.5456,1.0761,0.5305,1,0.5305,LOO 정규(n=59),0
수원-광명,2022,0.8567,0.5454,1.0758,0.5303,1,0.5303,LOO 정규(n=59),0
